record,uuid,date,markers,status,QCountry,QDomestic,QGDPR,QState,QRegion,QBorn,QAge,AgeR,QGeneration,Q100r1,Q100r2,Q100r3,Q100r4,Q100r5,Q100r6,Q100r7,Q100r8,Q100r9,Q100r10,Q100r11,Q100r12,Q110Ar1,Q110Ar2,Q110Ar3,noanswerQ110A_r99,Q110Br1,Q110Br2,Q110Br3,noanswerQ110B_r99,Q112,Q114,Q115r1,Q115r2,Q115r3,Q115r4,Q115r5,Q115r6,Q115r997,Q115r998,Q115r999,Q120,Q125,Q127,Q130r1,Q130r2,Q130r3,Q130r4,Q130r5,Q130r6,Q130r7,Q130r8,Q130r9,Q130r10,Q130r11,Q130r12,Q130r13,Q130r14,Q130r20,Q130r21,Q130r22,Q130r23,Q130r24,Q130r25,Q130r26,Q130r15,Q130r16,Q130r17,Q130r18,Q140r1,Q140r2,Q140r3,Q140r4,Q140r5,Q140r6,Q140r7,Q140r20,Q140r21,Q140r22,Q140r23,Q140r97,Q140r997,Q140r998,Q140r999,Q145r1,Q145r2,Q145r3,Q145r4,Q145r5,Q145r6,Q145r7,Q145r8,Q150r1,Q150r2,Q150r3,Q150r4,Q150r5,Q150r6,Q150r7,Q150r8,Q150r9,Q150r10,Q150r11,Q150r20,Q150r21,Q150r23,Q150r12,Q150r13,Q150r14,Q150r15,Q150r16,Q150r24,Q150r25,Q150r26,Q150r97,Q150r98,Q150r99,Q153r1,Q153r2,Q153r3,Q153r10,Q153r12,Q153r13,Q153r14,Q153r15,Q153r16,Q153r4,Q153r5,Q153r6,Q155r1,Q155r2,Q155r3,Q155r4,Q155r5,Q155r6,Q155r7,Q155r20,Q155r21,Q155r8,Q155r9,Q155r10,Q155r11,Q155r12,Q155r13,Q156Ar1,Q156Ar2,Q156Ar3,Q156Ar4,Q156Ar5,Q156Ar6,Q156Ar7,Q156Ar8,Q156Ar9,Q156Ar10,Q156Ar11,Q156Ar12,Q156Ar13,Q156Ar14,Q156Ar15,Q156Ar16,Q156Br1,Q156Br2,Q156Br3,Q156Br4,Q156Br5,Q156Br6,Q156Br7,Q156Br8,Q156Br9,Q156Br10,Q156Br11,Q156Br12,Q156Br13,Q156Br14,Q156Br15,Q156Br16,Q157,Q160r1,Q160r2,Q160r3,Q160r4,Q160r5,Q160r6,Q160r7,QJob,QIndustry,QIndustryr97oe,QRevenue,QEmployees,QAnythingElse,vlist,qtime,vos,vosr15oe,vbrowser,vbrowserr15oe,vmobiledevice,vmobileos,start_date,vdropout,ipAddress,source,decLang,list,userAgent,dcua,url,session,sesskey,identifier,fp_etag,fp_html5,fp_flash,fp_browser,qtime_min,Total,QEmployeesBanner,QIndustryBanner_1,QIndustryBanner_2,QIndustryBanner_3,QIndustryBanner_4,QIndustryBanner_5,QIndustryBanner_6,QIndustryBanner_7,QIndustryBanner_8,QIndustryBanner_9,QIndustryBanner_10,QIndustryBanner_11,QIndustryBanner_12,Q150Online,sumQ150OnlineTotal,Q150Offline,sumQ150OfflineTotal,Q150R,Q155NothingNew,Q157Months,Q157R
115,q8d5rragff1hmuka,6/4/20 9:35,"qualified,/Total/Total,20200415_14:01_v6",3,1,1,1,24,3,1961,59,5,3,9,7,5,8,9,10,9,5,5,98, ,10,100,0,0,0, , , ,1, , ,0,0,0,0,0,0,1,0,0,8,5,98,1,1,1,0,0,0,0,1,1,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,99,99,99,99,99,99,99,99,99,99,99,99,99,1,99,99, , , , , , , , , , , , , ,2, , ,5,3,4,5,5,4,4,4,24,5, ,5,3, ,1,567.52,4, ,10, ,5,6,6/4/20 9:25, ,12.90.142.90, , ,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.61 Safari/537.36",..,/survey/selfserve/2135/200602?identifier=tqewwcdul8cise9w&sesskey=g0u6az95smzlqln8,736gf2204rtvsv4g,g0u6az95smzlqln8,tqewwcdul8cise9w,db9ukevxybrrct2h,736gf2204rtvsv4g, , ,9.458666667,1,2, , , , , ,1, , , , , , , , , , , ,2,3,1
181,sap04bskxjzwny1p,6/4/20 9:47,"qualified,/Total/Total,20200415_14:01_v6",3,1,1,1,46,3,1957,63,6,3,3,5,6,6,2,2,5,6,8,5, ,2,90,10,0,0,100,0,0,0, , ,0,0,0,0,0,1,0,0,0,8,7,8,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,3,1,1,1,3,1,1,1,1,3,1,2,2,2,2,2, ,2,2,2, ,2,2,2,2, ,2,5,3,3,3,3,3,3,3,24,2, ,14,8,no,1,319.59,4, ,10, ,5,6,6/4/20 9:41, ,52.44.93.197, , ,1,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.92 Safari/537.36",..,/survey/selfserve/2135/200602?identifier=bk049ixid15pi88v&sesskey=g0v370xmcl96toxi,69yvucckk8xpznt7,g0v370xmcl96toxi,bk049ixid15pi88v, , , , ,5.3265,1,4,1, , ,1, , , , , , , , , , , , , ,2,3,1
186,14xf20jgwv4ueddd,6/4/20 9:53,"qualified,/Total/Total,20200415_14:01_v6",3,1,1,1,49,2,1959,61,6,3,6,6,6,9,6,10,9,9,6,98, ,8,90,10,0,0,90,10,0,0, , ,0,0,0,0,0,0,1,0,0,97,97,97,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,99,99,99,99,99,1,3,99,99,99,3,99,1,99,99, , , , , , ,2, , , , , , ,2, , ,2,3,3,3,3,3,3,3,24,7, ,99,4, ,1,613.59,4, ,10, ,5,6,6/4/20 9:42, ,72.1.28.63, , ,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.97 Safari/537.36",..,/survey/selfserve/2135/200602?identifier=a6gh7c0c1ltd0o84&sesskey=g0tef32jk57pnp04,503djyfr6dnb0thu,g0tef32jk57pnp04,a6gh7c0c1ltd0o84,f5g3a0pmkxzpvkfe,503djyfr6dnb0thu, , ,10.2265,1,2, , , , , , , ,1, , , , , , , , , ,1,0,1
212,ygn3vtd9m9850sfc,6/4/20 9:53,"qualified,/Total/Total,20200415_14:01_v6",3,1,1,1,13,2,1960,60,6,3,8,7,6,9,7,8,8,6,7,5, ,7,30,50,20,0,30,60,10,0, , ,0,0,0,0,1,0,0,0,0,3,1,2,1,0,1,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,2,2,2,2,3,3,1,1,3,3,3,3,1,1,3,2,2,1,1,99, , ,2,1, , , , ,2,2, ,5,3,3,3,4,3,1,3,2,1, ,1,1, ,1,452.58,5, ,12, ,5,6,6/4/20 9:45, ,73.22.52.130, , ,1,Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:76.0) Gecko/20100101 Firefox/76.0,..,/survey/selfserve/2135/200602?identifier=e068ltzoau9h8plg&sesskey=g21h3hgnlexf06zs,w9vhyr7xr57j13r9,g21h3hgnlexf06zs,e068ltzoau9h8plg,h215dr86jzw1z6ct,w9vhyr7xr57j13r9, , ,7.543,1,1,1,1, , , , , , , , , , , , , , , ,2,3,1
241,rgfecnpv5sv53tn3,6/4/20 9:53,"qualified,/Total/Total,20200415_14:01_v6",3,1,1,1,43,3,1970,50,5,4,6,6,5,6,6,6,7,6,6,6, ,6,100,0,0,0,100,0,0,0, , ,0,0,0,0,0,0,0,0,1,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99,2,1,2,2,2,3,2,2,2,2,2,3,3,2,2, ,2,2,2,2,2, ,2,2,2,2,2, , ,2,2,4,3,3,3,3,3,3,3,11,9, ,6,99, ,1,237.91,4, ,10, ,5,6,6/4/20 9:49, ,73.255.15.248, , ,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.61 Safari/537.36",..,/survey/selfserve/2135/200602?identifier=ofcjrd969gsqtseu&sesskey=g0unwfv86hx1ecp9,wg5rmuqaem322ham,g0unwfv86hx1ecp9,ofcjrd969gsqtseu,r6v3zfrnrnpa4d76,0zjprqek94nx65g6, , ,3.965166667,1, , , , , , , ,1, , , , , , , , , , , ,2,1
291,jmd2dq940znch6uk,6/4/20 10:35,"qualified,/Total/Total,20200415_14:01_v6",3,1,1,1,32,1,1964,56,5,3,4,7,7,5,5,7,3,4,2,2, ,4,25,70,5,0,25,50,25,0, , ,0,0,0,0,1,1,0,0,0,6,3,5,1,0,1,1,0,0,0,1,1,1,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,99,99,2,99,99,99,1,3,99,99,99,99,2,1,1,99, , ,99, , , ,2, , , , , ,99,2,3, ,4,4,5,6,4,3,6,2,32,7, ,4,3, ,1,1281.09,4, ,10, ,5,6,6/4/20 10:13, ,100.4.172.244, , ,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.61 Safari/537.36",..,/survey/selfserve/2135/200602?identifier=dkiw840b6nzremys&sesskey=g1zd3hn0jrqjibv1,xktb3dhu8u9qpudm,g1zd3hn0jrqjibv1,dkiw840b6nzremys,n5qjnq9rd0vxnkgu,xktb3dhu8u9qpudm, , ,21.3515,1,2, , , , , , , ,1, , , , , , , , , ,2,2,1
343,h2betfpwna6rgv11,6/4/20 10:49,"qualified,/Total/Total,20200415_14:01_v6",3,1,1,1,47,4,1975,45,4,4,1,6,6,1,8,9,7,1,1,1, ,10,70,30,0,0,65,15,20,0, , ,0,0,0,0,0,0,1,0,0,8,10,97,1,0,1,0,1,1,0,1,1,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,99,99,99,1,99,1,3,99,99,2,99,99,1,1,2,2, , , ,2, ,2, , , ,2, , ,2,2,2,4,4,5,4,5,5,5,4,18,3, ,99,11, ,1,763.93,4, ,3, ,5,6,6/4/20 10:36, ,152.131.10.75, , ,1,Mozilla/5.0 (Windows NT 10.0; Win64; x64; Trident/7.0; Touch; rv:11.0) like Gecko,..,/survey/selfserve/2135/200602?identifier=rxh4jszkypejfqlf&sesskey=g178oexhv194dr1e,gp0mfg3tjqztykr6,g178oexhv194dr1e,rxh4jszkypejfqlf,v64prpe9hbgmwj60,gp0mfg3tjqztykr6,gp0mfg3tjqztykr6, ,12.73216667,1,5, , , , , , , , ,1, ,1, , , , , , ,2,2,1
382,n3rscw99rh5ty53j,6/4/20 11:17,"qualified,/Total/Total,20200415_14:01_v6",3,1,1,1,49,2,1974,46,4,4,8,9,9,8,9,8,8,9,8,8, ,9,50,50,0,0,50,50,0,0, , ,0,0,0,0,0,0,1,0,0,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,2,2,2,2,3,3,2,3,99,2,2,3, ,5,3,3,3,3,3,3,4,12,3, ,2,2,No,1,1104.51,14, ,10, ,1,2,6/4/20 10:54, ,174.192.149.77, , ,1,"Mozilla/5.0 (Linux; Android 8.0.0; SM-G930V) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.83 Mobile Safari/537.36",sa,/survey/selfserve/2135/200602?identifier=dtsxxegouothi14o&sesskey=g1999ahlru8tzcc9&mobile=yes,81ab3cg9ns4wbgrq,g1999ahlru8tzcc9,dtsxxegouothi14o,psygtgq362q96jpd,ys7vzqgt5ys0szvy, , ,18.4085,1,1, , , , , , , , ,1, ,1, , , , , , ,1,3,1
477,2bp6wr43yy8f8kv5,6/4/20 11:41,"qualified,/Total/Total,20200415_14:01_v6",3,1,1,1,3,4,1937,83,7,2,2,1,1,1,1,4,7,1,1,1, ,1, , , ,1, , , ,1, , ,0,0,0,0,0,0,0,0,1,98,5,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,99,99,3,99,1,3,1,1,1,99,99,3,3,1,2,1, , , , ,99, ,2,3,2, , , , ,2,1,1,3,2,5,4,4,5,1,6,2,1, ,1,1, ,1,858.28,5, ,10, ,5,6,6/4/20 11:27, ,68.110.2.235, , ,1,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.61 Safari/537.36",..,/survey/selfserve/2135/200602?identifier=bjgw3m393394o35c&sesskey=g0rxtnzvqo06wxpl,8w5jmcjqyk09cp8a,g0rxtnzvqo06wxpl,bjgw3m393394o35c,yv68x6dcaj7hgb3r,8w5jmcjqyk09cp8a, , ,14.30466667,1,1,1,1, , , , , , , , , , , , , , , ,1,1,1
497,g3ge0p8bth6dny1r,6/4/20 11:38,"qualified,/Total/Total,20200415_14:01_v6",3,1,1,1,5,4,1960,60,6,3,9,8,8,9,6,10,10,9,6,8, ,10,90,10,0,0,75,25,0,0, , ,0,0,1,0,1,0,0,0,0,4,10,8,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,1,1,1,0,1,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,3,1,1,1,1,99,1,1,1,2,2,1,1,1,1,1, ,3,3,3,3, ,2,3,3,3,2,2,3,3,3,3,5,3,4,4,5,4,5,5,97,7,Energy/Utilities,99,11, ,1,573.89,4, ,2, ,5,6,6/4/20 11:29, ,40.94.33.42, , ,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36 Edge/18.18363",..,/survey/selfserve/2135/200602?identifier=qimbzbxml1859laa&sesskey=g1749agcriqkvp74,dd30js5p8xpr8918,g1749agcriqkvp74,qimbzbxml1859laa,nt0t5z910rpkqyvd,dd30js5p8xpr8918, , ,9.564833333,1,5, , , , , , , ,1, , , , , , , , , ,2,3,1
