record,uuid,date,markers,status,quarter,QCountry,QDomestic,QGDPR,QState,QBorn,QRegion,QAge,AgeR,QGeneration,Q100r1,Q100r2,Q100r3,Q100r4,Q100r5,Q100r6,Q100r7,Q100r8,Q100r9,Q100r10,Q110r1,Q110r2,Q110r3,Q110r4,Q110r5,Q110r6,Q110r997,Q110r998,Q110r999,Q120,Q130,Q140,Q201r1,Q201r2,Q201r3,Q201r4,Q201r5,Q201r6,Q201r7,Q201r8,Q201r9,Q201r10,Q201r11,Q201r12,Q201r13,Q201r14,Q201r15,Q201r16,Q202r1,Q202r2,Q202r3,Q202r4,Q202r5,Q202r6,Q202r7,Q202r8,Q203r1,Q203r2,Q203r3,Q203r4,Q203r5,Q203r6,Q203r7,Q203r8,Q203r9,Q203r10,Q203r11,Q203r12,Q203r13,Q203r14,Q203r15,Q203r16,Q204r1,Q204r2,Q204r3,Q204r4,Q204r5,Q204r6,Q204r7,Q204r8,Q204r9,Q204r10,QJob,QJobr97oe,QIndustry,QIndustryr97oe,QRevenue,QEmployees,Exit,vlist,qtime,vos,vosr15oe,vbrowser,vbrowserr15oe,vmobiledevice,vmobileos,start_date,vdropout,ipAddress,source,decLang,list,userAgent,fp_etag,fp_html5,fp_flash,fp_browser,dcua,url,session,sesskey,identifier,speeder,qtime_min,filter_$,SL,Q100_SD,Q201_SD,SL_Count,gibberish_Exit,gibberish_count,strikes,Total,QIndustryBanner
51,eaa7jb9et1eyy7rg,3/18/21 8:50,"qualified,/Total/Total,/Industry/CjNcK,20210318_05:19_v3",3,1,1,1,1,47,1975,4,46,4,4,9,9,9,7,6,9,5,2,4,10,0,1,0,1,0,0,0,0,0,3,2,2,3,4,3,3,3,3,1,3,1,3,3,3,3,1,3,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9, ,4, ,3,2, ,1,240.56,4, ,10, ,5,6,3/18/21 8:46, ,209.210.121.68, , ,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.90 Safari/537.36 Edg/89.0.774.54",3qtq2qc2rss6t86c,u1a8a8wqz6kyzk5s, , ,..,/survey/selfserve/2135/210303?identifier=K_qeronnj0cz&sesskey=g1thjtjbob8yeyep,nxgt81hu9hzm19b7,g1thjtjbob8yeyep,K_qeronnj0cz,0,4.009333333,1,0,2.666666667,0.963932916,0,0,0,0,1,1
54,8dmdp1exmmjkbqke,3/18/21 8:56,"qualified,/Total/Total,/Industry/CjNcK,20210318_05:19_v3",3,1,1,1,1,5,1967,4,54,5,4,7,5,5,5,8,6,8,1,9,5,0,0,0,0,0,1,0,0,0,5,3,5,3,4,3,3,3,3,4,4,3,2,1,3,3,1,3,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9, ,4, ,14,11, ,1,319.32,4, ,10, ,5,6,3/18/21 8:50, ,20.37.20.245, , ,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.90 Safari/537.36 Edg/89.0.774.54",brddz6y2mx58svba,ahe40b2wfz4k3zxr, , ,..,/survey/selfserve/2135/210303?identifier=K_eimm7sii76&sesskey=g3sdpqhsi223u6vs,4e6uzyacgdy3k1rk,g3sdpqhsi223u6vs,K_eimm7sii76,0,5.322,1,0,2.282785822,0.885061203,0,0,0,0,1,1
57,b7r053gjea3cdndg,3/18/21 8:59,"qualified,/Total/Total,/Industry/CjNcK,20210318_05:19_v3",3,1,1,1,1,38,1958,1,63,6,3,7,9,7,8,9,8,8,6,9,8,0,0,0,0,0,1,0,0,0,7,4,4,1,2,2,2,1,3,1,1,2,4,3,3,2,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,11, ,4, ,10,7,No,1,256.5,4, ,10, ,5,6,3/18/21 8:55, ,40.94.28.11, , ,1,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.90 Safari/537.36",2ensx0t3nfp9nkrc,qa84w2f51vcq8y4w, , ,..,/survey/selfserve/2135/210303?identifier=K_7sszpislfi&sesskey=g3knbrji0c9c92tj,7yzn0gshj8yhwdfe,g3knbrji0c9c92tj,K_7sszpislfi,0,4.275,1,0,0.994428926,0.957427108,0,0,0,0,1,1
58,ufntyu4bkntmpe10,3/18/21 9:04,"qualified,/Total/Total,/Industry/CjNcK,20210318_05:19_v3",3,1,1,1,1,14,1960,2,61,6,3,9,6,6,7,8,7,4,7,5,4,0,0,0,0,0,0,1,0,0,6,5,6,3,3,3,3,3,3,2,3,3,4,3,3,3,1,3,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9, ,4, ,5,3,I can't think of anything,1,498.31,4, ,10, ,5,6,3/18/21 8:56, ,216.84.101.2, , ,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.90 Safari/537.36 Edg/89.0.774.54",udbr5hfhkhx6y2xd,7jf8mjxd8s6drgmb, , ,..,/survey/selfserve/2135/210303?identifier=K_x6vh51kzva&sesskey=g17ba049phynpy4s,vza17pxwat71e745,g17ba049phynpy4s,K_x6vh51kzva,0,8.305166667,0,0,1.636391694,0.619139187,0,0,0,0,1,1
66,4dfnkt56qstfvesv,3/18/21 9:14,"qualified,/Total/Total,/Industry/CjNcK,20210318_05:19_v3",3,1,1,1,1,23,1977,2,44,4,4,5,1,1,1,1,1,1,1,7,8,0,0,0,0,0,1,0,0,0,10,8,11,3,4,4,4,4,4,1,2,4,4,4,1,4,1,4,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9, ,4, ,5,5, ,1,227.69,4, ,10, ,5,6,3/18/21 9:01, ,50.224.189.174, , ,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.82 Safari/537.36",pdw9wq6sexqj3pu4,2wf89pnqbwbvzkg3, , ,..,/survey/selfserve/2135/210303?identifier=K_s0hxioc3e6&sesskey=g3l6l90pz4543eqg,ve8q57nup8ax89t5,g3l6l90pz4543eqg,K_s0hxioc3e6,0,3.794833333,1,0,2.830390629,1.258305739,0,0,0,0,1,1
78,3pgexv1pqw4cq4w3,3/18/21 9:17,"qualified,/Total/Total,/Industry/CjNcK,20210318_05:19_v3",3,1,1,1,1,17,1966,3,55,5,4,10,10,10,10,6,7,8,10,10,6,0,0,0,0,0,0,1,0,0,5,5,5,3,4,3,3,3,3,1,1,3,3,3,3,3,1,3,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,14, ,4, ,99,5, ,1,127.89,12, ,11, ,1,1,3/18/21 9:15, ,107.77.234.195, , ,1,"Mozilla/5.0 (iPhone; CPU iPhone OS 14_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.3 Mobile/15E148 Safari/604.1",6ze53hqnmvghvx5n,nnvab8pbgqnb9prx, , ,si,/survey/selfserve/2135/210303?identifier=K_4dolulznbr&sesskey=g0emv36qt9n6y63k&mobile=yes,nnvab8pbgqnb9prx,g0emv36qt9n6y63k,K_4dolulznbr,0,2.1315,1,0,1.766981104,0.87321246,0,0,0,0,1,1
87,981wpvq81eck7cge,3/18/21 9:32,"qualified,/Total/Total,/Industry/CjNcK,20210318_05:19_v3",3,1,1,1,1,7,1967,1,54,5,4,9,9,9,10,6,9,7,7,8,9,0,0,0,0,1,1,0,0,0,7,3,4,4,1,4,2,4,3,1,2,2,3,4,4,1,1,3,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9, ,4, ,2,1, ,1,370.4,4, ,10, ,5,6,3/18/21 9:26, ,73.4.101.249, , ,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.90 Safari/537.36",pnc0437qav748qr3,t3dtrr5wrah310tz, , ,..,/survey/selfserve/2135/210303?identifier=K_766cd3b426&sesskey=g0c9lah035vx8e3q,t3dtrr5wrah310tz,g0c9lah035vx8e3q,K_766cd3b426,0,6.173333333,1,0,1.251665557,1.209338662,0,0,0,0,1,1
88,1cufgtm98umx6uzc,3/18/21 9:34,"qualified,/Total/Total,/Industry/CjNcK,20210318_05:19_v3",3,1,1,1,1,9,1983,3,38,3,5,3,1,3,4,2,4,1,4,5,2,0,0,0,0,0,1,0,0,0,5,5,8,2,3,3,3,4,3,1,1,3,3,1,3,1,1,1,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12, ,4, ,3,2, ,1,317.66,4, ,12, ,5,6,3/18/21 9:28, ,96.87.167.134, , ,1,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:86.0) Gecko/20100101 Firefox/86.0,6dz42f770sy09sfc,rsa38nsn381vy3xb, , ,..,/survey/selfserve/2135/210303?identifier=K_re2fqi482g&sesskey=g0rd11ingwqehwsd,rsa38nsn381vy3xb,g0rd11ingwqehwsd,K_re2fqi482g,0,5.294333333,1,0,1.370320319,1.064581295,0,0,0,0,1,1
98,y8avp3t4e4cac8mc,3/18/21 9:45,"qualified,/Total/Total,/Industry/CjNcK,20210318_05:19_v3",3,1,1,1,1,33,1993,3,28,2,5,4,7,6,6,6,7,4,3,3,6,0,0,0,0,0,0,1,0,0,7,7,6,2,2,2,2,1,2,1,3,1,3,3,3,3,1,3,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9, ,4, ,3,4, ,1,174.27,4, ,10, ,5,6,3/18/21 9:42, ,24.199.213.90, , ,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.82 Safari/537.36",wd35de4dvq47paqg,c6wbk7f5vg9rwqp6, , ,..,/survey/selfserve/2135/210303?identifier=K_p3img9erc3&sesskey=g0bjfhv9k228k7bo,c6wbk7f5vg9rwqp6,g0bjfhv9k228k7bo,K_p3img9erc3,0,2.9045,1,0,1.549193338,0.853912564,0,0,0,0,1,1
109,u84zz6gj39bkujjz,3/18/21 10:00,"qualified,/Total/Total,/Industry/CjNcK,20210318_05:19_v3",3,1,1,1,1,37,1955,4,66,6,3,2,2,2,2,9,4,8,9,9,6,0,0,0,0,0,0,1,0,0,1,2,1,3,3,3,3,3,3,3,3,3,3,1,1,3,3,2,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9, ,4, ,1,1, ,1,273.24,5, ,12, ,5,6,3/18/21 9:55, ,184.21.102.142, , ,1,Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:84.0) Gecko/20100101 Firefox/84.0,uamkt5pxn57z915m,2kjnjcq8qgr0jkfv, , ,..,/survey/selfserve/2135/210303?identifier=K_rjp5c8pja1&sesskey=g0ech8qqd1so1efm,2kjnjcq8qgr0jkfv,g0ech8qqd1so1efm,K_rjp5c8pja1,0,4.554,1,0,3.23350515,0.704154339,0,0,0,0,1,1
